head_ft,600,800,1000,1600,2000,2200,2400,2600,2800,3000
0,17.2,19.3,21.1,25.1,27.2,28.3,29.1,29.9,30.6,30.6
164,6.9,10.6,13.5,19.3,22.2,23.5,24.8,25.9,26.2,26.4
197,4.5,7.9,11.4,17.7,20.6,22.2,23.5,24.3,24.8,25.1
230,3.7,6.1,9.0,16.1,19.3,20.6,21.9,23.0,23.5,23.5
262,2.4,5.0,7.4,14.3,17.7,19.0,20.6,21.4,21.9,22.2
295,1.3,3.7,6.1,12.2,15.9,17.7,19.3,20.1,20.6,20.6
328,0.0,2.6,4.5,10.3,14.3,15.9,17.4,18.8,19.0,19.3
361,0.0,1.8,3.7,9.0,12.4,14.0,15.6,16.9,17.7,18.0
394,0.0,0.0,2.6,7.7,11.1,12.4,14.0,15.3,16.1,16.4
427,0.0,0.0,1.8,6.6,9.8,10.8,12.7,13.7,15.1,15.1
459,0.0,0.0,0.3,5.6,8.5,9.8,10.8,12.7,14.0,14.0
492,0.0,0.0,0.0,4.8,7.4,8.5,9.8,11.1,12.7,12.9
525,0.0,0.0,0.0,4.0,6.3,7.1,8.5,9.8,11.1,11.4